Code,Latin name,Common name
ORDEB,Organic Debris,Organic Debris
SOIL,Soil,Soil
ordeb,Organic Debris,Organic Debris
morningglory,Ipoema eriocarpo,Morning glory
furygrass,,
groundgrass,,
geum,Geum macrophyllum,Largeleaf avens
smoothgrass,,
wheat,,
VIGL,Viola glabella,Stream violet
GAAB,Gallium apparine,Catchweed
RUOB,Rubus occidentalis,Blackcap raspberry
SALAL,Salix lassiandra,Pacific Willow
GRASS,Poaceae spp.,Grass
SEDGE,Cyperaceae spp.,Sedge
PSHE,Tseuga heterophylla,Western Hemlock
GERO,Geranium robertianum,Herb Robert
LACO,,
COSE,Cornus sanguinea,Dogwood
poisonoak,Toxicodendron spp.,Poison Oak
orgdeb,Organic Debris,Organic Debris
